,maxtempC,mintempC,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,humidity,pressure,tempC,visibility,winddirDegree,windspeedKmph
1251,43.0,31.0,14.083333333333334,42.083333333333336,42.083333333333336,40.458333333333336,12.458333333333334,22.333333333333332,995.375,37.416666666666664,10.0,194.875,10.541666666666666
1252,41.0,30.0,13.625,39.333333333333336,39.333333333333336,38.583333333333336,9.541666666666666,24.125,996.3333333333334,36.25,10.0,178.625,8.25
1253,40.0,30.0,13.208333333333334,37.333333333333336,37.333333333333336,37.208333333333336,9.166666666666666,24.791666666666668,997.3333333333334,35.25,10.0,174.45833333333334,7.416666666666667
1254,41.0,29.0,12.291666666666666,37.458333333333336,37.458333333333336,37.458333333333336,11.333333333333334,23.208333333333332,998.5,35.75,10.0,281.7916666666667,9.041666666666666
1255,42.0,30.0,10.583333333333334,38.083333333333336,38.083333333333336,38.333333333333336,16.0,19.416666666666668,997.1666666666666,36.916666666666664,10.0,305.5833333333333,12.916666666666666
1256,43.0,31.0,9.5,39.791666666666664,39.791666666666664,39.541666666666664,16.791666666666668,17.041666666666668,995.1666666666666,37.791666666666664,10.0,289.375,13.333333333333334
1257,43.0,31.0,9.958333333333334,41.416666666666664,41.416666666666664,40.75,14.333333333333334,16.333333333333332,995.1666666666666,38.041666666666664,10.0,286.25,12.125
1258,44.0,30.0,10.5,43.166666666666664,43.166666666666664,41.875,9.375,16.125,996.0833333333334,37.875,10.0,280.1666666666667,7.791666666666667
1259,44.0,31.0,8.583333333333334,42.625,42.625,41.375,9.458333333333334,14.625,996.75,38.416666666666664,10.0,303.3333333333333,7.208333333333333
1260,45.0,32.0,7.166666666666667,41.083333333333336,41.083333333333336,40.625,15.916666666666666,13.708333333333334,996.6666666666666,39.166666666666664,10.0,303.9583333333333,12.416666666666666
1261,45.0,32.0,7.375,42.666666666666664,42.666666666666664,41.708333333333336,16.125,13.25,995.125,39.083333333333336,10.0,286.875,13.458333333333334
1262,44.0,33.0,11.541666666666666,42.333333333333336,42.333333333333336,41.333333333333336,18.791666666666668,18.0,992.0,39.208333333333336,10.0,283.625,15.916666666666666
1263,46.0,34.0,12.458333333333334,44.541666666666664,44.541666666666664,42.291666666666664,17.625,18.541666666666668,991.25,39.791666666666664,10.0,278.0833333333333,14.75
1264,43.0,34.0,15.541666666666666,40.458333333333336,40.458333333333336,38.75,9.375,26.458333333333332,993.125,37.416666666666664,10.0,217.66666666666666,7.541666666666667
1265,43.0,32.0,14.25,42.583333333333336,42.583333333333336,40.833333333333336,11.416666666666666,22.208333333333332,992.7083333333334,38.291666666666664,10.0,281.9166666666667,9.416666666666666
1266,45.0,32.0,11.041666666666666,42.958333333333336,42.958333333333336,41.75,15.625,17.166666666666668,991.4166666666666,39.208333333333336,10.0,296.625,13.416666666666666
1267,45.0,34.0,13.208333333333334,43.375,43.375,41.416666666666664,20.041666666666668,20.416666666666668,992.0,39.541666666666664,10.0,281.6666666666667,17.083333333333332
1268,46.0,34.0,15.708333333333334,43.916666666666664,43.916666666666664,41.5,14.541666666666666,23.25,993.9583333333334,39.625,10.0,258.875,12.291666666666666
1269,44.0,34.0,17.375,43.625,43.625,40.25,16.375,28.291666666666668,992.7916666666666,38.958333333333336,10.0,262.25,13.958333333333334
1270,44.0,34.0,15.416666666666666,43.041666666666664,43.041666666666664,40.833333333333336,19.75,23.958333333333332,991.375,39.333333333333336,10.0,275.5833333333333,16.833333333333332
1271,44.0,33.0,15.333333333333334,43.583333333333336,43.583333333333336,41.5,17.0,22.416666666666668,992.875,38.875,10.0,278.1666666666667,14.5
1272,42.0,34.0,15.708333333333334,40.916666666666664,40.916666666666664,39.25,20.416666666666668,26.333333333333332,993.125,38.291666666666664,9.833333333333334,271.2083333333333,16.958333333333332
1273,43.0,33.0,17.291666666666668,40.958333333333336,40.958333333333336,38.791666666666664,15.458333333333334,29.916666666666668,994.5416666666666,37.625,10.0,273.5833333333333,12.666666666666666
1274,43.0,34.0,15.5,40.666666666666664,40.666666666666664,39.208333333333336,19.75,25.75,995.5,38.166666666666664,10.0,283.4583333333333,15.5
1275,44.0,32.0,12.333333333333334,41.166666666666664,41.166666666666664,40.375,13.833333333333334,19.875,995.375,38.375,10.0,308.5833333333333,11.25
1276,44.0,33.0,12.125,42.291666666666664,42.291666666666664,40.958333333333336,13.875,18.916666666666668,993.7083333333334,39.041666666666664,10.0,300.0416666666667,11.25
1277,45.0,33.0,12.541666666666666,44.791666666666664,44.791666666666664,42.875,9.666666666666666,17.416666666666668,993.0833333333334,39.375,10.0,278.8333333333333,8.166666666666666
1278,45.0,32.0,18.208333333333332,47.0,47.0,42.958333333333336,6.708333333333333,24.666666666666668,993.5833333333334,38.833333333333336,10.0,79.16666666666667,5.875
1279,45.0,34.0,20.791666666666668,47.083333333333336,47.083333333333336,41.25,10.458333333333334,32.208333333333336,991.6666666666666,39.25,10.0,94.58333333333333,9.083333333333334
1280,41.0,34.0,22.291666666666668,45.5,45.5,38.958333333333336,12.416666666666666,39.458333333333336,991.625,37.833333333333336,10.0,98.625,10.583333333333334
1281,44.0,31.0,21.041666666666668,46.125,46.125,40.375,8.166666666666666,36.583333333333336,992.5,38.666666666666664,10.0,125.79166666666667,7.041666666666667
1282,42.0,34.0,20.208333333333332,44.166666666666664,44.166666666666664,39.375,9.875,35.458333333333336,992.375,38.416666666666664,10.0,295.625,8.541666666666666
1283,38.0,29.0,22.625,40.666666666666664,40.666666666666664,35.0,16.5,51.25,993.375,34.25,8.416666666666666,145.58333333333334,10.625
1284,37.0,26.0,22.416666666666668,37.375,37.375,32.666666666666664,10.958333333333334,55.791666666666664,995.4166666666666,31.833333333333332,9.916666666666666,79.08333333333333,8.875
1285,33.0,29.0,22.25,35.083333333333336,35.083333333333336,31.0,11.666666666666666,60.083333333333336,996.7916666666666,30.208333333333332,10.0,56.916666666666664,9.208333333333334
1286,38.0,27.0,22.791666666666668,38.166666666666664,38.166666666666664,33.0,17.375,56.291666666666664,997.8333333333334,32.458333333333336,10.0,64.41666666666667,14.125
1287,36.0,29.0,23.916666666666668,38.458333333333336,38.458333333333336,32.375,18.541666666666668,61.416666666666664,998.0833333333334,31.916666666666668,10.0,109.5,14.666666666666666
1288,35.0,29.0,25.291666666666668,39.333333333333336,39.333333333333336,32.125,8.625,68.08333333333333,997.375,31.208333333333332,8.875,176.25,6.791666666666667
1289,37.0,28.0,24.083333333333332,39.666666666666664,39.666666666666664,33.208333333333336,13.0,60.083333333333336,996.5,32.291666666666664,9.458333333333334,240.70833333333334,9.208333333333334
1290,38.0,28.0,22.916666666666668,39.166666666666664,39.166666666666664,33.666666666666664,7.833333333333333,55.041666666666664,996.625,32.625,9.875,230.54166666666666,6.375
1291,38.0,29.0,22.166666666666668,39.916666666666664,39.916666666666664,34.75,11.708333333333334,49.625,996.75,33.5,9.916666666666666,249.5,9.0
1292,38.0,30.0,22.208333333333332,40.75,40.75,35.416666666666664,10.791666666666666,47.125,998.75,34.5,10.0,285.75,8.333333333333334
1293,39.0,30.0,22.083333333333332,41.541666666666664,41.541666666666664,36.083333333333336,13.083333333333334,45.708333333333336,998.25,34.833333333333336,9.875,277.4166666666667,9.875
1294,42.0,31.0,19.0,41.0,41.0,37.833333333333336,19.666666666666668,34.583333333333336,994.0833333333334,36.833333333333336,10.0,270.25,14.0
1295,41.0,32.0,19.791666666666668,41.5,41.5,37.708333333333336,18.291666666666668,36.333333333333336,992.4583333333334,36.375,10.0,270.4583333333333,14.041666666666666
1296,37.0,30.0,23.541666666666668,41.166666666666664,41.166666666666664,34.541666666666664,11.833333333333334,54.125,996.0833333333334,33.458333333333336,9.875,150.375,9.708333333333334
1297,36.0,29.0,24.125,37.833333333333336,37.833333333333336,31.833333333333332,10.5,64.16666666666667,999.0,31.0,9.875,117.83333333333333,8.291666666666666
1298,40.0,28.0,23.958333333333332,42.25,42.25,35.291666666666664,7.333333333333333,53.291666666666664,996.5,34.208333333333336,9.875,130.04166666666666,5.583333333333333
1299,41.0,32.0,23.833333333333332,44.5,44.5,36.75,8.291666666666666,48.625,992.7916666666666,35.666666666666664,10.0,154.29166666666666,6.458333333333333
1300,41.0,32.0,22.208333333333332,42.041666666666664,42.041666666666664,36.375,13.25,46.416666666666664,992.2916666666666,35.583333333333336,9.833333333333334,215.41666666666666,11.083333333333334
1301,39.0,29.0,23.625,39.875,39.875,33.625,9.0,57.041666666666664,995.625,32.875,9.75,137.70833333333334,7.375
1302,32.0,28.0,23.5,34.625,34.625,29.958333333333332,8.416666666666666,68.83333333333333,996.5,29.041666666666668,8.916666666666666,109.75,6.625
1303,38.0,28.0,24.791666666666668,40.291666666666664,40.291666666666664,32.958333333333336,7.208333333333333,64.08333333333333,995.6666666666666,32.041666666666664,9.958333333333334,136.20833333333334,5.833333333333333
1304,36.0,29.0,24.958333333333332,41.041666666666664,41.041666666666664,33.5,6.208333333333333,62.083333333333336,995.3333333333334,32.458333333333336,9.916666666666666,108.375,5.125
1305,36.0,29.0,25.166666666666668,42.041666666666664,42.041666666666664,33.958333333333336,7.125,61.583333333333336,996.7916666666666,32.916666666666664,10.0,111.33333333333333,5.875
1306,33.0,29.0,24.916666666666668,38.708333333333336,38.708333333333336,31.833333333333332,8.5,67.95833333333333,997.0416666666666,30.791666666666668,10.0,133.5,7.208333333333333
1307,33.0,28.0,24.5,37.166666666666664,37.166666666666664,31.041666666666668,8.75,68.45833333333333,997.0416666666666,30.208333333333332,9.875,159.125,7.291666666666667
1308,37.0,28.0,23.291666666666668,36.875,36.875,31.958333333333332,6.416666666666667,61.791666666666664,997.6666666666666,31.125,9.875,207.83333333333334,5.083333333333333
1309,39.0,29.0,23.333333333333332,40.291666666666664,40.291666666666664,34.25,13.833333333333334,54.208333333333336,995.4583333333334,33.583333333333336,9.75,226.70833333333334,10.458333333333334
1310,39.0,30.0,22.958333333333332,39.458333333333336,39.458333333333336,33.833333333333336,17.208333333333332,54.875,993.6666666666666,32.875,10.0,208.875,13.333333333333334
1311,36.0,27.0,23.791666666666668,36.708333333333336,36.708333333333336,31.291666666666668,13.791666666666666,65.625,996.4166666666666,30.666666666666668,9.875,116.29166666666667,11.416666666666666
1312,36.0,26.0,23.083333333333332,37.083333333333336,37.083333333333336,32.041666666666664,9.583333333333334,60.458333333333336,998.0833333333334,31.125,10.0,94.25,7.291666666666667
1313,35.0,28.0,23.666666666666668,36.833333333333336,36.833333333333336,31.5,8.916666666666666,64.04166666666667,998.5,30.583333333333332,9.375,162.70833333333334,6.583333333333333
1314,37.0,27.0,23.333333333333332,39.416666666666664,39.416666666666664,33.666666666666664,4.875,56.75,998.4583333333334,32.708333333333336,9.958333333333334,141.91666666666666,3.8333333333333335
1315,35.0,28.0,23.875,37.625,37.625,31.75,10.833333333333334,65.66666666666667,998.4166666666666,30.958333333333332,9.708333333333334,144.83333333333334,8.25
1316,34.0,28.0,24.625,36.875,36.875,30.833333333333332,5.875,70.58333333333333,998.25,30.0,9.916666666666666,130.375,4.833333333333333
1317,35.0,27.0,23.958333333333332,37.791666666666664,37.791666666666664,32.125,5.291666666666667,63.875,997.7083333333334,31.083333333333332,10.0,49.458333333333336,4.083333333333333
1318,37.0,28.0,22.541666666666668,38.958333333333336,38.958333333333336,33.791666666666664,11.375,53.583333333333336,998.5416666666666,32.958333333333336,10.0,77.33333333333333,9.5
1319,36.0,27.0,22.625,36.791666666666664,36.791666666666664,32.166666666666664,15.541666666666666,58.25,998.875,31.583333333333332,10.0,87.45833333333333,12.041666666666666
1320,33.0,27.0,23.666666666666668,33.75,33.75,29.333333333333332,15.041666666666666,72.45833333333333,998.4583333333334,28.958333333333332,10.0,96.41666666666667,12.0
1321,34.0,26.0,23.416666666666668,33.916666666666664,33.916666666666664,29.708333333333332,15.625,70.08333333333333,998.3333333333334,29.166666666666668,9.375,105.29166666666667,12.916666666666666
1322,36.0,26.0,23.5,35.75,35.75,30.875,13.625,66.41666666666667,999.25,30.291666666666668,10.0,131.29166666666666,10.75
1323,36.0,27.0,23.75,37.208333333333336,37.208333333333336,31.791666666666668,8.541666666666666,63.708333333333336,1000.0,30.875,10.0,177.375,6.833333333333333
1324,36.0,27.0,22.166666666666668,36.541666666666664,36.541666666666664,32.166666666666664,12.0,56.666666666666664,1000.0833333333334,31.333333333333332,10.0,262.0833333333333,8.75
