AT,PM2.5,RH,WS,CO,NO2,Ozone,SO2,AQI
22.32,332.9,58.25,0.75,3.11,141,18.46,16.96,463.7692308
22.68,169.27,59.65,0.84,2.36,119.4,26.2,22.22,337.9
22.32,115.82,57.34,0.73,1.97,102.12,31.15,22.51,286.0666667
21.26,141.71,46.31,1.11,2.19,116.02,25.86,18.72,316.7
20.97,184.16,47.66,0.58,3.93,140.95,22.79,7.4,349.3538462
21.7,211.56,49.94,0.81,3.72,126.34,33.23,9.16,370.4307692
22.09,225.89,50.27,1.51,3.83,88.26,44.86,3.77,381.4538462
22.48,268.73,54.56,0.46,4.04,151.83,32.3,10.31,414.4076923
21.93,236.23,46.58,0.52,4.26,145.3,23.32,8.07,389.4076923
21.7,176.23,42.31,0.33,4.58,160.92,28.13,9.72,343.2538462
21.76,209.58,42.25,0.8,3.22,121.3,23.88,7.95,368.9076923
21.22,125.04,41.26,1.01,2.76,104.84,23.68,6.92,303.8769231
20.91,195.4,46.06,0.45,3.21,141.62,24.55,13.05,358
20.9,256.43,53.25,0.42,3.26,160.67,23.79,14.38,404.9461538
21.24,253.29,53.75,0.66,3.4,152.2,21.46,11.28,402.5307692
21.31,242.94,57.29,0.44,3.39,120.17,53.97,10.27,394.5692308
20.68,299.03,57.88,0.46,4.1,133.45,23.94,5.53,437.7153846
20.29,238.5,52.58,0.52,3.3,118.97,19.16,4.15,391.1538462
19.7,180.43,49.12,0.51,2.21,120.3,19.13,6.28,346.4846154
19.39,266.94,49.63,0.37,5.91,151.68,40.58,11.51,413.0307692
19.4,272.49,49.31,0.39,1.95,129.4,23.85,9.01,417.3
18.91,333.27,53.92,0.36,3.77,139.13,42.77,18.97,464.0538462
18.64,257.87,53.97,0.41,3.92,115.77,21.55,24.58,406.0538462
18.15,305.74,55.67,0.39,4.48,124.35,56.52,27.94,442.8769231
17.78,245.19,55,0.51,3.67,134.35,28.06,22.48,396.3
17.76,258.36,53.66,0.36,4,138.29,29.9,23.12,406.4307692
17.41,298.88,49.59,0.33,3.7,145.39,39.93,29.87,437.6
16.94,334.42,54.92,0.66,4.17,115.08,61.23,27.51,464.9384615
16.83,344,60.34,0.45,4.42,117.2,59.66,24.21,472.3076923
17.4,233.11,57.05,1.02,3.51,82.41,50.68,21.65,387.0076923
16.54,110.43,60.74,0.58,2.09,75.08,29.94,15.55,268.1
16.74,118.47,57.69,0.57,3.07,96.99,26.03,16.17,294.9
16.68,129.48,55.58,0.6,1.45,108.7,23.15,16.09,307.2923077
16.26,180.36,53.67,0.46,2.91,125.57,25.27,17.16,346.4307692
15.67,187.88,50.5,0.49,3.37,127.98,24.92,19.33,352.2153846
15.75,221.27,47.48,0.65,3.45,147.62,24.81,19.59,377.9
15.61,258.56,50.47,0.46,3.35,158.73,20.11,20.33,406.5846154
15.21,322.86,52.08,0.41,3.97,159.28,20.29,20.17,456.0461538
14.04,301.34,60.21,0.74,4.04,180.91,17.6,14.76,439.4923077
13.99,442.95,55.89,0.34,3.6,179.55,32.25,15.85,548.4230769
14.17,564.15,58.48,0.51,3.28,162.75,68.31,19,641.6538462
14.43,557.14,57.86,0.49,4.28,145.06,33.23,15.81,636.2615385
13.98,278.46,57.34,0.71,3.02,125.25,14.13,9.62,421.8923077
